"","HDI Rank","Country","GNI","Life.exp","Edu.Exp","HDI","Edu.mean","GNI_HDI","GII Rank","Parli.F","Edu2.F","Mat.Mor","Ado.Birth","Edu2.M","GII","Labo.F","Labo.M","Edu2.FM","Labo2.FM"
"1",1,"Norway",64992,81.6,17.5,0.944,12.6,5,1,39.6,97.4,4,7.8,96.7,0.067,61.2,68.7,1.00723888314374,0.890829694323144
"2",2,"Australia",42261,82.4,20.2,0.935,13,17,2,30.5,94.3,6,12.1,94.6,0.11,58.8,71.8,0.996828752642706,0.818941504178273
"3",3,"Switzerland",56431,83,15.8,0.93,12.8,6,3,28.5,95,6,1.9,96.6,0.028,61.8,74.9,0.98343685300207,0.825100133511348
"4",4,"Denmark",44025,80.2,18.7,0.923,12.7,11,4,38,95.5,5,5.1,96.6,0.048,58.7,66.4,0.988612836438924,0.884036144578313
"5",5,"Netherlands",45435,81.6,17.9,0.922,11.9,9,5,36.9,87.7,6,6.2,90.5,0.062,58.5,70.6,0.969060773480663,0.828611898016997
"6",6,"Germany",43919,80.9,16.5,0.916,13.1,11,6,36.9,96.3,7,3.8,97,0.041,53.6,66.4,0.992783505154639,0.80722891566265
"7",6,"Ireland",39568,80.9,18.6,0.916,12.2,16,6,19.9,80.5,9,8.2,78.6,0.113,53.1,68.1,1.02417302798982,0.779735682819383
"8",8,"United States",52947,79.1,16.5,0.915,12.9,3,8,19.4,95.1,28,31,94.8,0.28,56.3,68.9,1.00316455696203,0.817126269956459
"9",9,"Canada",42155,82,15.9,0.913,13,11,9,28.2,100,11,14.5,100,0.129,61.6,71,1,0.867605633802817
"10",9,"New Zealand",32689,81.8,19.2,0.913,12.5,23,9,31.4,95,8,25.3,95.3,0.157,62,73.8,0.99685204616999,0.840108401084011
"11",11,"Singapore",76628,83,15.4,0.912,10.6,-7,11,25.3,74.1,6,6,81,0.088,58.8,77.2,0.914814814814815,0.761658031088083
"12",12,"Hong Kong, China (SAR)",53959,84,15.6,0.91,11.2,-2,12,NA,72.2,NA,3.3,79.2,NA,51.3,67.8,0.911616161616162,0.756637168141593
"13",13,"Liechtenstein",79851,80,15,0.908,11.8,-10,13,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,"Sweden",45636,82.2,15.8,0.907,12.1,-1,14,43.6,86.5,4,6.5,87.3,0.055,60.3,67.9,0.990836197021764,0.888070692194403
"15",14,"United Kingdom",39267,80.7,16.2,0.907,13.1,9,14,23.5,99.8,8,25.8,99.9,0.177,55.7,68.7,0.998998998998999,0.810771470160116
"16",16,"Iceland",35182,82.6,19,0.899,10.6,12,16,41.3,91,4,11.5,91.6,0.087,70.5,77.4,0.993449781659389,0.910852713178295
"17",17,"Korea (Republic of)",33890,81.9,16.9,0.898,11.9,13,17,16.3,77,27,2.2,89.1,0.125,50.1,72.1,0.864197530864198,0.694868238557559
"18",18,"Israel",30676,82.4,16,0.894,12.5,16,18,22.5,84.4,2,7.8,87.3,0.101,57.9,69.1,0.966781214203895,0.837916063675832
"19",19,"Luxembourg",58711,81.7,13.9,0.892,11.7,-11,19,28.3,100,11,8.3,100,0.1,50.7,64.6,1,0.784829721362229
"20",20,"Japan",36927,83.5,15.3,0.891,11.5,7,20,11.6,87,6,5.4,85.8,0.133,48.8,70.4,1.01398601398601,0.693181818181818
"21",21,"Belgium",41187,80.8,16.3,0.89,11.3,0,21,42.4,77.5,6,6.7,82.9,0.063,47.5,59.3,0.934861278648975,0.801011804384486
"22",22,"France",38056,82.2,16,0.888,11.1,4,22,25.7,78,12,5.7,83.2,0.088,50.7,61.6,0.9375,0.823051948051948
"23",23,"Austria",43869,81.4,15.7,0.885,10.8,-5,23,30.3,100,4,4.1,100,0.053,54.6,67.7,1,0.806499261447563
"24",24,"Finland",38695,80.8,17.1,0.883,10.3,0,24,42.5,100,4,9.2,100,0.075,55.7,64,1,0.8703125
"25",25,"Slovenia",27852,80.4,16.8,0.88,11.9,12,25,27.7,95.8,7,0.6,98,0.016,52.3,63.2,0.977551020408163,0.82753164556962
"26",26,"Spain",32045,82.6,17.3,0.876,9.6,7,26,38,66.8,4,10.6,73.1,0.095,52.5,65.8,0.913816689466484,0.797872340425532
"27",27,"Italy",33030,83.1,16,0.873,10.1,4,27,30.1,71.2,4,4,80.5,0.068,39.6,59.5,0.884472049689441,0.665546218487395
"28",28,"Czech Republic",26660,78.6,16.4,0.87,12.3,10,28,18.9,99.9,5,4.9,99.7,0.091,51.1,68.3,1.00200601805416,0.748169838945827
"29",29,"Greece",24524,80.9,17.6,0.865,10.3,14,29,21,59.5,5,11.9,67,0.146,44.2,62.5,0.888059701492537,0.7072
"30",30,"Estonia",25214,76.8,16.5,0.861,12.5,12,30,19.8,100,11,16.8,100,0.164,56.2,68.9,1,0.815674891146589
"31",31,"Brunei Darussalam",72570,78.8,14.5,0.856,8.8,-26,31,NA,63.9,27,23,67.8,NA,52.6,75.3,0.942477876106195,0.698539176626826
"32",32,"Cyprus",28633,80.2,14,0.85,11.6,3,32,12.5,76,10,5.5,81.7,0.124,56,71.1,0.930232558139535,0.787623066104079
"33",32,"Qatar",123124,78.2,13.8,0.85,9.1,-31,32,0,66.7,6,9.5,59,0.524,50.8,95.5,1.13050847457627,0.531937172774869
"34",34,"Andorra",43978,81.3,13.5,0.845,9.6,-18,34,50,49.5,NA,NA,49.3,NA,NA,NA,1.00405679513185,NA
"35",35,"Slovakia",25845,76.3,15.1,0.844,12.2,5,35,18.7,99.1,7,15.9,99.5,0.164,51.1,68.6,0.995979899497487,0.744897959183674
"36",36,"Poland",23177,77.4,15.5,0.843,11.8,10,36,22.1,79.4,3,12.2,85.5,0.138,48.9,64.9,0.928654970760234,0.75346687211094
"37",37,"Lithuania",24500,73.3,16.4,0.839,12.4,7,37,23.4,89.1,11,10.6,94.3,0.125,55.8,67.3,0.944856839872746,0.829123328380386
"38",37,"Malta",27930,80.6,14.4,0.839,10.3,-1,37,13,68.6,9,18.2,78.2,0.227,37.9,66.3,0.877237851662404,0.571644042232277
"39",39,"Saudi Arabia",52821,74.3,16.3,0.837,8.7,-27,39,19.9,60.5,16,10.2,70.3,0.284,20.2,78.3,0.860597439544808,0.257982120051086
"40",40,"Argentina",22050,76.3,17.9,0.836,9.8,11,40,36.8,56.3,69,54.4,57.6,0.376,47.5,75,0.977430555555555,0.633333333333333
"41",41,"United Arab Emirates",60868,77,13.3,0.835,9.5,-34,41,17.5,73.1,8,27.6,61.2,0.232,46.5,92,1.19444444444444,0.505434782608696
"42",42,"Chile",21290,81.7,15.2,0.832,9.8,11,42,15.8,73.3,22,55.3,76.4,0.338,49.2,74.8,0.959424083769633,0.657754010695187
"43",43,"Portugal",25757,80.9,16.3,0.83,8.2,-2,43,31.3,47.7,8,12.6,48.2,0.111,54.9,66.2,0.989626556016598,0.829305135951662
"44",44,"Hungary",22916,75.2,15.4,0.828,11.6,3,44,10.1,97.9,14,12.1,98.7,0.209,44.8,60,0.991894630192503,0.746666666666667
"45",45,"Bahrain",38599,76.6,14.4,0.824,9.4,-20,45,15,56.7,22,13.8,51.4,0.265,39.2,86.9,1.10311284046693,0.451093210586881
"46",46,"Latvia",22281,74.2,15.2,0.819,11.5,4,46,18,98.9,13,13.5,99,0.167,54.9,67.6,0.998989898989899,0.812130177514793
"47",47,"Croatia",19409,77.3,14.8,0.818,11,11,47,25.8,85,13,12.7,93.6,0.149,44.7,58.4,0.908119658119658,0.76541095890411
"48",48,"Kuwait",83961,74.4,14.7,0.816,7.2,-46,48,1.5,55.6,14,14.5,56.3,0.387,43.6,83.1,0.987566607460036,0.524669073405536
"49",49,"Montenegro",14558,76.2,15.2,0.802,11.2,27,49,17.3,84.2,7,15.2,94.7,0.171,43,57.3,0.889123548046463,0.75043630017452
"50",50,"Belarus",16676,71.3,15.7,0.798,12,14,50,30.1,87,1,20.6,92.2,0.151,50.1,63.1,0.943600867678959,0.793977812995246
"51",50,"Russian Federation",22352,70.1,14.7,0.798,12,-1,50,14.5,89.6,24,25.7,92.5,0.276,57.1,71.7,0.968648648648649,0.796373779637378
"52",52,"Oman",34858,76.8,13.6,0.793,8,-23,52,9.6,47.2,11,10.6,57.1,0.275,29,82.6,0.82661996497373,0.351089588377724
"53",52,"Romania",18108,74.7,14.2,0.793,10.8,10,52,12,86.1,33,31,92,0.333,48.7,64.9,0.935869565217391,0.750385208012327
"54",52,"Uruguay",19283,77.2,15.5,0.793,8.5,7,52,11.5,54.4,14,58.3,50.3,0.313,55.6,76.8,1.08151093439364,0.723958333333333
"55",55,"Bahamas",21336,75.4,12.6,0.79,10.9,-3,55,16.7,91.2,37,28.5,87.6,0.298,69.3,79.3,1.04109589041096,0.873896595208071
"56",56,"Kazakhstan",20867,69.4,15,0.788,11.4,-1,56,20.1,95.3,26,29.9,98.8,0.267,67.7,77.9,0.964574898785425,0.869062901155327
"57",57,"Barbados",12488,75.6,15.4,0.785,10.5,27,57,19.6,89.5,52,48.4,87.7,0.357,65.9,76.6,1.02052451539339,0.860313315926893
"58",58,"Antigua and Barbuda",20070,76.1,14,0.783,9.2,-1,58,25.7,NA,NA,49.3,NA,NA,NA,NA,NA,NA
"59",59,"Bulgaria",15596,74.2,14.4,0.782,10.6,13,59,20.4,93,5,35.9,95.7,0.212,47.9,59,0.971786833855799,0.811864406779661
"60",60,"Palau",13496,72.7,13.7,0.78,12.3,18,60,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",60,"Panama",18192,77.6,13.3,0.78,9.3,1,60,19.3,54,85,78.5,49.9,0.454,49,81.8,1.08216432865731,0.599022004889976
"62",62,"Malaysia",22762,74.7,12.7,0.779,10,-14,62,14.2,65.1,29,5.7,71.3,0.209,44.4,75.5,0.91304347826087,0.588079470198675
"63",63,"Mauritius",17470,74.4,15.6,0.777,8.5,0,63,11.6,49.4,73,30.9,58,0.419,43.6,74.2,0.851724137931034,0.587601078167116
